Item,Quantity,UnitPrice,TotalCost
MILK,6,7.82,46.92
BANANA,9,3.08,27.72
BANANA,9,3.08,27.72
MILK,6,7.82,46.92
APPLES,8,2.51,20.08
MANGO,8,6.36,50.88
MILK,6,7.82,46.92
FERTILISERS,3,3.75,11.25
ONION,5,4.39,21.95
OILSEEDS,8,6.05,48.4
ALMOND,4,2.2,8.8
EGGS,4,7.64,30.56
ALMOND,4,2.2,8.8
OILSEEDS,8,6.05,48.4
BANANA,9,3.08,27.72
ONION,5,4.39,21.95
MANGO,8,6.36,50.88
LEMONS,2,5.82,11.64
EGGS,4,7.64,30.56
ONION,5,4.39,21.95
MILK,6,7.82,46.92
ONION,5,4.39,21.95
ONION,5,4.39,21.95
APPLES,8,2.51,20.08
BANANA,9,3.08,27.72
FERTILISERS,3,3.75,11.25
ALMOND,4,2.2,8.8
MILK,6,7.82,46.92
ALMOND,4,2.2,8.8
APPLES,8,2.51,20.08
BANANA,9,3.08,27.72
LEMONS,2,5.82,11.64
OILSEEDS,8,6.05,48.4
FERTILISERS,3,3.75,11.25
EGGS,4,7.64,30.56
ONION,5,4.39,21.95
ALMOND,4,2.2,8.8
ONION,5,4.39,21.95
LEMONS,2,5.82,11.64
LEMONS,2,5.82,11.64
FERTILISERS,3,3.75,11.25
ONION,5,4.39,21.95
OILSEEDS,8,6.05,48.4
APPLES,8,2.51,20.08
LEMONS,2,5.82,11.64
LEMONS,2,5.82,11.64
BANANA,9,3.08,27.72
MILK,6,7.82,46.92
OILSEEDS,8,6.05,48.4
FERTILISERS,3,3.75,11.25
ONION,5,4.39,21.95
BANANA,9,3.08,27.72
APPLES,8,2.51,20.08
EGGS,4,7.64,30.56
LEMONS,2,5.82,11.64
LEMONS,2,5.82,11.64
BANANA,9,3.08,27.72
ONION,5,4.39,21.95
FERTILISERS,3,3.75,11.25
OILSEEDS,8,6.05,48.4
MANGO,8,6.36,50.88
FERTILISERS,3,3.75,11.25
LEMONS,2,5.82,11.64
MANGO,8,6.36,50.88
MANGO,8,6.36,50.88
MANGO,8,6.36,50.88
BANANA,9,3.08,27.72
MILK,6,7.82,46.92
OILSEEDS,8,6.05,48.4
LEMONS,2,5.82,11.64
ONION,5,4.39,21.95
LEMONS,2,5.82,11.64
MILK,6,7.82,46.92
MILK,6,7.82,46.92
EGGS,4,7.64,30.56
FERTILISERS,3,3.75,11.25
EGGS,4,7.64,30.56
APPLES,8,2.51,20.08
OILSEEDS,8,6.05,48.4
ALMOND,4,2.2,8.8
OILSEEDS,8,6.05,48.4
ALMOND,4,2.2,8.8
ALMOND,4,2.2,8.8
APPLES,8,2.51,20.08
MANGO,8,6.36,50.88
ALMOND,4,2.2,8.8
FERTILISERS,3,3.75,11.25
OILSEEDS,8,6.05,48.4
FERTILISERS,3,3.75,11.25
ALMOND,4,2.2,8.8
APPLES,8,2.51,20.08
ALMOND,4,2.2,8.8
ALMOND,4,2.2,8.8
ALMOND,4,2.2,8.8
LEMONS,2,5.82,11.64
APPLES,8,2.51,20.08
MANGO,8,6.36,50.88
APPLES,8,2.51,20.08
OILSEEDS,8,6.05,48.4
OILSEEDS,8,6.05,48.4
