Item,Quantity,Price,Total Cost
OILSEEDS,8,5.82,46.56
APPLES,8,5.82,46.56
EGGS,4,5.82,23.28
APPLES,8,5.82,46.56
BANANA,9,5.82,52.38
BANANA,9,5.82,52.38
LEMONS,2,5.82,11.64
MILK,6,5.82,34.92
BANANA,9,5.82,52.38
APPLES,8,5.82,46.56
MANGO,8,5.82,46.56
EGGS,4,5.82,23.28
BANANA,9,5.82,52.38
FERTILISERS,3,5.82,17.46
ONION,5,5.82,29.1
ALMOND,4,5.82,23.28
MANGO,8,5.82,46.56
FERTILISERS,3,5.82,17.46
APPLES,8,5.82,46.56
MILK,6,5.82,34.92
OILSEEDS,8,5.82,46.56
ALMOND,4,5.82,23.28
APPLES,8,5.82,46.56
ALMOND,4,5.82,23.28
MILK,6,5.82,34.92
MILK,6,5.82,34.92
BANANA,9,5.82,52.38
FERTILISERS,3,5.82,17.46
BANANA,9,5.82,52.38
APPLES,8,5.82,46.56
MANGO,8,5.82,46.56
LEMONS,2,5.82,11.64
ONION,5,5.82,29.1
FERTILISERS,3,5.82,17.46
APPLES,8,5.82,46.56
APPLES,8,5.82,46.56
FERTILISERS,3,5.82,17.46
MILK,6,5.82,34.92
MANGO,8,5.82,46.56
ONION,5,5.82,29.1
MANGO,8,5.82,46.56
FERTILISERS,3,5.82,17.46
LEMONS,2,5.82,11.64
FERTILISERS,3,5.82,17.46
ONION,5,5.82,29.1
FERTILISERS,3,5.82,17.46
OILSEEDS,8,5.82,46.56
EGGS,4,5.82,23.28
OILSEEDS,8,5.82,46.56
FERTILISERS,3,5.82,17.46
APPLES,8,5.82,46.56
OILSEEDS,8,5.82,46.56
ALMOND,4,5.82,23.28
APPLES,8,5.82,46.56
ALMOND,4,5.82,23.28
MILK,6,5.82,34.92
EGGS,4,5.82,23.28
BANANA,9,5.82,52.38
FERTILISERS,3,5.82,17.46
MANGO,8,5.82,46.56
MILK,6,5.82,34.92
ONION,5,5.82,29.1
ALMOND,4,5.82,23.28
MILK,6,5.82,34.92
MILK,6,5.82,34.92
FERTILISERS,3,5.82,17.46
MANGO,8,5.82,46.56
BANANA,9,5.82,52.38
APPLES,8,5.82,46.56
BANANA,9,5.82,52.38
ALMOND,4,5.82,23.28
MILK,6,5.82,34.92
MANGO,8,5.82,46.56
APPLES,8,5.82,46.56
EGGS,4,5.82,23.28
ONION,5,5.82,29.1
EGGS,4,5.82,23.28
MILK,6,5.82,34.92
BANANA,9,5.82,52.38
APPLES,8,5.82,46.56
OILSEEDS,8,5.82,46.56
FERTILISERS,3,5.82,17.46
MILK,6,5.82,34.92
BANANA,9,5.82,52.38
OILSEEDS,8,5.82,46.56
MANGO,8,5.82,46.56
LEMONS,2,5.82,11.64
BANANA,9,5.82,52.38
APPLES,8,5.82,46.56
APPLES,8,5.82,46.56
APPLES,8,5.82,46.56
ONION,5,5.82,29.1
OILSEEDS,8,5.82,46.56
EGGS,4,5.82,23.28
OILSEEDS,8,5.82,46.56
LEMONS,2,5.82,11.64
OILSEEDS,8,5.82,46.56
MILK,6,5.82,34.92
MANGO,8,5.82,46.56
EGGS,4,5.82,23.28
